Pclass,Sex,Age,SibSp,Parch,Fare,Survived
3,1,0.275,1,0,0.014151058,0
3,1,0.4375,0,0,0.015712554,0
3,1,0.3625,0,0,0.016509502,0
1,1,0.675,0,0,0.101228858,0
3,1,0.025,3,1,0.04113566,0
3,1,0.25,0,0,0.015712554,0
3,1,0.4875,1,5,0.061044735,0
3,0,0.175,0,0,0.015330377,0
3,1,0.025,4,1,0.056848214,0
3,0,0.3875,1,0,0.03513366,0
2,1,0.4375,0,0,0.05074862,0
3,0,0.1,3,1,0.04113566,0
3,1,0.3625,0,0,0.014102261,0
1,1,0.2375,3,2,0.513341812,0
3,1,0.3625,0,0,0.015411575,0
1,1,0.5,0,0,0.054107398,0
2,1,0.825,0,0,0.020494635,0
1,1,0.35,1,0,0.16038672,0
1,1,0.525,1,0,0.10149724,0
3,1,0.2625,0,0,0.015712554,0
3,0,0.225,2,0,0.03513366,0
3,0,0.5,1,0,0.018493968,0
2,0,0.3375,1,0,0.04098927,0
3,1,0.3625,0,0,0.015411575,0
3,1,0.3625,0,0,0.015712554,0
3,1,0.3625,1,0,0.030253985,0
3,1,0.3625,2,0,0.04231498,0
3,0,0.225,1,0,0.034743286,0
3,1,0.0875,4,1,0.077464841,0
3,1,0.2625,0,0,0.015224586,0
1,1,0.8125,0,1,0.120975342,0
3,1,0.35,0,0,0.014110459,0
3,1,0.1375,5,2,0.091542703,0
3,1,0.275,0,0,0.014110459,0
1,1,0.5625,1,0,0.162932349,0
3,1,0.05,3,2,0.054457173,0
1,1,0.3625,0,0,0.054107398,0
3,1,0.2375,0,0,0.015923941,0
3,1,0.325,2,0,0.016908074,0
2,1,0.4,0,0,0.020494635,0
3,0,0.2,5,2,0.091542703,0
2,1,0.2625,0,0,0.143462446,0
3,1,0.325,1,0,0.028212719,0
3,1,0.3125,0,0,0.014931806,0
3,1,0.3625,0,0,0.015411575,0
3,1,0.3625,0,0,0.015712554,0
3,1,0.275,0,0,0.01756683,0
1,1,0.35,0,0,0.091933077,0
3,1,0.2,1,3,0.067095532,0
3,1,0.3625,0,0,0.015712554,0
3,1,0.3,0,0,0.015712554,0
3,1,0.3625,0,0,0.015712554,0
3,1,0.25,0,0,0.015330377,0
1,1,0.575,1,0,0.119405648,0
3,1,0.325,1,2,0.040159725,0
3,1,0.7375,0,0,0.014151058,0
3,1,0.3625,0,0,0.015712554,0
1,1,0.8875,0,0,0.067640494,0
2,1,0.425,1,0,0.05074862,0
3,0,0.35,0,0,0.015411575,0
3,1,0.3625,0,0,0.015411575,0
1,1,0.2625,0,1,0.150855153,0
3,1,0.4125,0,0,0.016891873,0
3,1,0.4625,2,0,0.01546857,0
3,1,0.35,0,0,0.015411575,0
3,1,0.475,0,0,0.015411575,0
1,1,0.5875,0,0,0.10149724,0
3,0,0.175,1,0,0.028212719,0
3,1,0.275,0,0,0.015712554,0
3,0,0.25,1,0,0.019177123,0
3,0,0.2125,0,0,0.028220722,0
3,1,0.2625,0,0,0.01546857,0
3,1,0.875,0,0,0.015126993,0
2,1,0.3625,1,0,0.04098927,0
1,1,0.3,0,1,0.483128426,0
3,0,0.025,4,2,0.061044735,0
2,1,0.2625,2,0,0.143462446,0
3,1,0.3625,0,0,0.015712554,0
2,1,0.4,1,0,0.058694293,0
1,1,0.675,0,1,0.150855153,0
3,1,0.3625,0,0,0.015126993,0
3,1,0.5625,0,0,0.013614293,0
3,1,0.4125,0,0,0.015411575,0
3,1,0.25,0,0,0.013760684,0
3,0,0.5875,1,0,0.028302115,0
2,1,0.3125,0,0,0.02537431,0
2,1,0.2875,0,0,0.029367446,0
1,1,0.4625,1,0,0.103644297,0
3,1,0.2,0,0,0.0179898,0
1,1,0.3,0,0,0.154588105,0
3,0,0.3625,0,2,0.02975782,0
3,1,0.2375,0,0,0.013175123,0
2,1,0.225,0,0,0.022446505,0
2,1,0.2375,1,1,0.071731223,0
3,0,0.1125,2,2,0.067095532,0
2,1,0.45,0,2,0.05074862,0
2,1,0.525,0,0,0.02537431,0
2,1,0.6375,0,0,0.024447172,0
3,1,0.6875,0,0,0.015712554,0
3,1,0.5,0,2,0.028302115,0
3,1,0.3625,0,0,0.014273049,0
1,1,0.6375,0,1,0.11980422,0
3,1,0.375,0,0,0.015712554,0
3,1,0.3625,0,0,0.016908074,0
3,1,0.3625,8,2,0.135752559,0
3,1,0.55,0,1,0.031425107,0
3,1,0.325,0,0,0.015175789,0
3,1,0.2125,0,0,0.016908074,0
3,1,0.0125,4,1,0.077464841,0
3,0,0.5625,1,4,0.054457173,0
1,1,0.3625,0,0,0.05060223,0
3,1,0.35,0,0,0.110272458,0
1,1,0.7625,0,0,0.065387645,0
3,1,0.05,4,1,0.056848214,0
3,1,0.2625,0,0,0.01546857,0
1,1,0.7,0,0,0.059914211,0
3,1,0.225,1,1,0.015330377,0
3,1,0.3625,3,1,0.049707688,0
1,0,0.625,0,0,0.056043068,0
2,1,0.375,0,0,0.02537431,0
3,1,0.45,0,0,0,0
3,0,0.3625,8,2,0.135752559,0
2,1,0.3625,0,0,0.029375644,0
3,1,0.1125,4,2,0.06126432,0
1,1,0.3625,0,0,0.0975935,0
3,1,0.5,1,1,0.030253985,0
3,1,0.45,0,0,0.015411575,0
2,1,0.2375,0,0,0.02537431,0
3,1,0.3625,0,0,0.015126993,0
3,1,0.525,0,1,0.016403906,0
2,0,0.3,0,0,0.02537431,0
3,1,0.35,0,0,0.018542765,0
3,1,0.3625,8,2,0.135752559,0
3,1,0.425,0,0,0.012678957,0
3,1,0.5625,0,0,0.014102261,0
3,0,0.025,0,1,0.02042144,0
3,1,0.4,1,0,0.03093714,0
3,1,0.3,0,0,0.013760684,0
3,1,0.275,0,0,0.014151058,0
2,1,0.375,0,0,0.02537431,0
3,1,0.3625,1,0,0.015126993,0
2,1,0.525,1,0,0.05270049,0
2,1,0.375,0,0,0.020494635,0
2,1,0.3375,0,0,0.02537431,0
3,1,0.6375,0,0,0.015712554,0
3,1,0.3625,0,0,0.015411575,0
3,1,0.275,0,0,0.018249985,0
3,1,0.25,0,0,0.014151058,0
2,1,0.225,0,0,0.02537431,0
3,0,0.3625,3,1,0.049707688,0
3,1,0.3625,0,0,0.015175789,0
2,1,0.7375,0,0,0.026350245,0
2,1,0.3,0,0,0.020494635,0
3,0,0.3625,0,0,0.014736619,0
2,1,0.55,1,0,0.05074862,0
2,1,0.2375,0,0,0.020494635,0
2,1,0.4125,0,0,0.023959204,0
3,0,0.3625,1,0,0.028212719,0
2,1,0.3625,0,0,0.020494635,0
3,1,0.275,0,0,0.013907074,0
3,1,0.375,0,0,0.014102261,0
1,1,0.55,2,0,0.175668301,0
3,0,0.3125,0,0,0.015175789,0
2,1,0.675,1,0,0.05074862,0
3,1,0.3625,0,0,0.014151058,0
3,0,0.3625,1,1,0.02042144,0
1,1,0.775,0,0,0.051822149,0
3,1,0.375,1,0,0.031425107,0
3,0,0.5125,0,2,0.039452173,0
3,1,0.3625,0,0,0.015126993,0
1,1,0.65,1,1,0.155466446,0
1,1,0.5,0,0,0,0
3,0,0.3625,0,0,0.015126993,0
2,1,0.45,0,0,0.020494635,0
3,1,0.2,4,1,0.077464841,0
1,1,0.3625,0,0,0.06050797,0
1,1,0.4625,0,1,0.057970539,0
3,0,0.5625,0,0,0.015126993,0
2,1,0.3625,0,0,0,0
3,1,0.0875,4,1,0.056848214,0
3,1,0.8125,0,0,0.015126993,0
3,1,0.35,0,0,0.015330377,0
3,1,0.2,0,0,0.018542765,0
1,1,0.3625,0,0,0.05074862,0
3,1,0.4125,0,0,0.016908074,0
3,1,0.275,0,0,0.015411575,0
2,1,0.45,0,0,0.025130326,0
3,0,0.3,0,0,0.01727405,0
3,1,0.3,0,0,0.015411575,0
1,1,0.3625,0,0,0.054107398,0
3,1,0.2875,0,0,0.014110459,0
1,0,0.025,1,2,0.2958059,0
3,1,0.2375,0,0,0,0
3,1,0.3625,0,0,0.015712554,0
2,1,0.375,1,0,0.04684488,0
2,0,0.325,1,1,0.05074862,0
3,1,0.35,0,0,0.015411575,0
2,1,0.5375,1,1,0.051236588,0
2,1,0.675,0,0,0.02732618,0
3,1,0.275,0,0,0.014151058,0
3,1,0.3375,0,0,0.015411575,0
3,1,0.3625,8,2,0.135752559,0
3,1,0.7625,0,0,0.012174789,0
1,1,0.5625,0,0,0.055628295,0
1,1,0.475,0,1,0.299538851,0
3,1,0.2,2,0,0.03513366,0
3,1,0.3625,0,0,0.015411575,0
1,1,0.3625,1,0,0.129994543,0
1,1,0.5625,0,0,0.069291385,0
2,1,0.35,0,0,0.02537431,0
2,1,0.3125,0,0,0.02537431,0
2,1,0.45,0,0,0.02537431,0
3,1,0.525,0,0,0.016908074,0
3,1,0.2875,0,0,0.018006001,0
1,1,0.3625,0,0,0.06831545,0
