Pclass,Sex,Age,SibSp,Parch,Fare,Survived
1,0,0.475,1,0,0.139135735,1
3,0,0.325,0,0,0.01546857,1
1,0,0.4375,1,0,0.103644297,1
3,0,0.3375,0,2,0.021730754,1
2,0,0.175,1,0,0.058694293,1
3,0,0.05,1,1,0.032596229,1
1,0,0.725,0,0,0.051822149,1
2,0,0.6875,0,0,0.03122992,1
2,1,0.3625,0,0,0.02537431,1
3,0,0.3625,0,0,0.014102261,1
2,1,0.425,0,0,0.02537431,1
3,0,0.1875,0,0,0.015671955,1
1,1,0.35,0,0,0.069291385,1
3,0,0.475,1,5,0.06126432,1
3,0,0.3625,0,0,0.015379174,1
1,0,0.3625,1,0,0.285989555,1
3,0,0.3625,0,0,0.015126993,1
3,1,0.3625,0,0,0.014110459,1
3,0,0.175,1,0,0.021942337,1
2,0,0.0375,1,2,0.081157193,1
3,0,0.2375,0,0,0.015379174,1
3,0,0.3625,0,0,0.015126993,1
1,0,0.6125,1,0,0.149765424,1
2,0,0.3625,1,0,0.05074862,1
1,1,0.3625,0,0,0.069291385,1
2,0,0.2625,0,0,0.020494635,1
2,0,0.0625,1,2,0.054164393,1
1,0,0.475,0,0,0.156149601,1
3,1,0.3625,1,1,0.02975782,1
2,0,0.3625,0,0,0.020494635,1
3,0,0.2125,4,2,0.01546857,1
3,1,0.4,0,0,0.110272458,1
2,1,0,0,2,0.05660423,1
3,0,0.375,0,0,0.024349578,1
3,1,0.3625,0,0,0.018542765,1
3,0,0.3625,0,0,0.015200188,1
2,0,0.2125,0,0,0.020494635,1
3,0,0.4125,3,0,0.03093714,1
1,0,0.2875,3,2,0.513341812,1
1,1,0.2875,0,1,0.123667166,1
2,0,0.425,0,1,0.04489301,1
3,0,0.2625,0,0,0.014931806,1
3,1,0.3625,0,0,0.015175789,1
3,0,0.3625,1,0,0.047137661,1
2,0,0.4,0,0,0.02537431,1
3,1,0.15,1,0,0.021942337,1
3,1,0.3,0,0,0.01393967,1
3,0,0.3625,1,1,0.043640495,1
2,0,0.3625,1,0,0.05074862,1
1,0,0.2375,0,2,0.051301585,1
3,0,0.275,0,0,0.015126993,1
3,0,0.3,1,0,0.03093714,1
3,1,0.3375,0,0,0.015216388,1
1,0,0.275,1,0,0.129994543,1
3,0,0.2,0,0,0.015094396,1
2,0,0.5,0,0,0.030741953,1
3,1,0.1125,0,2,0.040062132,1
1,0,0.3625,0,1,0.10735285,1
3,0,0.0125,1,1,0.021730754,1
