Pclass,Sex,Age,SibSp,Parch,Fare,Survived
3,1,0.275,1,0,0.014151058,0
1,0,0.475,1,0,0.139135735,1
3,0,0.325,0,0,0.01546857,1
1,0,0.4375,1,0,0.103644297,1
3,1,0.4375,0,0,0.015712554,0
3,1,0.3625,0,0,0.016509502,0
1,1,0.675,0,0,0.101228858,0
3,1,0.025,3,1,0.04113566,0
3,0,0.3375,0,2,0.021730754,1
2,0,0.175,1,0,0.058694293,1
3,0,0.05,1,1,0.032596229,1
1,0,0.725,0,0,0.051822149,1
3,1,0.25,0,0,0.015712554,0
3,1,0.4875,1,5,0.061044735,0
3,0,0.175,0,0,0.015330377,0
2,0,0.6875,0,0,0.03122992,1
3,1,0.025,4,1,0.056848214,0
2,1,0.3625,0,0,0.02537431,1
3,0,0.3875,1,0,0.03513366,0
3,0,0.3625,0,0,0.014102261,1
2,1,0.4375,0,0,0.05074862,0
2,1,0.425,0,0,0.02537431,1
3,0,0.1875,0,0,0.015671955,1
1,1,0.35,0,0,0.069291385,1
3,0,0.1,3,1,0.04113566,0
3,0,0.475,1,5,0.06126432,1
3,1,0.3625,0,0,0.014102261,0
1,1,0.2375,3,2,0.513341812,0
3,0,0.3625,0,0,0.015379174,1
3,1,0.3625,0,0,0.015411575,0
1,1,0.5,0,0,0.054107398,0
1,0,0.3625,1,0,0.285989555,1
3,0,0.3625,0,0,0.015126993,1
2,1,0.825,0,0,0.020494635,0
1,1,0.35,1,0,0.16038672,0
1,1,0.525,1,0,0.10149724,0
3,1,0.3625,0,0,0.014110459,1
3,1,0.2625,0,0,0.015712554,0
3,0,0.225,2,0,0.03513366,0
3,0,0.175,1,0,0.021942337,1
3,0,0.5,1,0,0.018493968,0
2,0,0.3375,1,0,0.04098927,0
3,1,0.3625,0,0,0.015411575,0
2,0,0.0375,1,2,0.081157193,1
3,0,0.2375,0,0,0.015379174,1
3,1,0.3625,0,0,0.015712554,0
3,1,0.3625,1,0,0.030253985,0
3,0,0.3625,0,0,0.015126993,1
3,1,0.3625,2,0,0.04231498,0
3,0,0.225,1,0,0.034743286,0
3,1,0.0875,4,1,0.077464841,0
3,1,0.2625,0,0,0.015224586,0
1,0,0.6125,1,0,0.149765424,1
2,0,0.3625,1,0,0.05074862,1
1,1,0.8125,0,1,0.120975342,0
1,1,0.3625,0,0,0.069291385,1
2,0,0.2625,0,0,0.020494635,1
3,1,0.35,0,0,0.014110459,0
2,0,0.0625,1,2,0.054164393,1
3,1,0.1375,5,2,0.091542703,0
3,1,0.275,0,0,0.014110459,0
1,0,0.475,0,0,0.156149601,1
1,1,0.5625,1,0,0.162932349,0
3,1,0.05,3,2,0.054457173,0
1,1,0.3625,0,0,0.054107398,0
3,1,0.3625,1,1,0.02975782,1
2,0,0.3625,0,0,0.020494635,1
3,1,0.2375,0,0,0.015923941,0
3,0,0.2125,4,2,0.01546857,1
3,1,0.325,2,0,0.016908074,0
2,1,0.4,0,0,0.020494635,0
3,0,0.2,5,2,0.091542703,0
2,1,0.2625,0,0,0.143462446,0
3,1,0.325,1,0,0.028212719,0
3,1,0.4,0,0,0.110272458,1
3,1,0.3125,0,0,0.014931806,0
3,1,0.3625,0,0,0.015411575,0
3,1,0.3625,0,0,0.015712554,0
2,1,0,0,2,0.05660423,1
3,0,0.375,0,0,0.024349578,1
3,1,0.275,0,0,0.01756683,0
3,1,0.3625,0,0,0.018542765,1
3,0,0.3625,0,0,0.015200188,1
1,1,0.35,0,0,0.091933077,0
2,0,0.2125,0,0,0.020494635,1
3,0,0.4125,3,0,0.03093714,1
3,1,0.2,1,3,0.067095532,0
3,1,0.3625,0,0,0.015712554,0
1,0,0.2875,3,2,0.513341812,1
3,1,0.3,0,0,0.015712554,0
3,1,0.3625,0,0,0.015712554,0
3,1,0.25,0,0,0.015330377,0
1,1,0.575,1,0,0.119405648,0
3,1,0.325,1,2,0.040159725,0
3,1,0.7375,0,0,0.014151058,0
3,1,0.3625,0,0,0.015712554,0
1,1,0.8875,0,0,0.067640494,0
